epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.333,1.48997,4.36597,1.79189,0.4332,0.16667,0.07659,0.04172,1.83574,12.2504,2.24692,0.0002125,0.0002125,0.0002125
2,514.353,1.4019,3.32852,1.64841,0.45776,0.13333,0.134,0.04091,2.02378,5.78943,2.38924,0.000433169,0.000433169,0.000433169
3,770.595,1.35748,2.81206,1.62919,0.05864,0.25,0.03347,0.01324,2.0668,9.55302,2.54118,0.000649382,0.000649382,0.000649382
4,1168.41,1.52645,2.93882,1.69567,0.00303,0.23333,0.00328,0.00073,2.65327,288.011,4.18959,0.000861141,0.000861141,0.000861141
5,1495.44,1.58467,2.92013,1.79218,0.03187,0.2,0.02652,0.01185,2.12619,243.301,3.77672,0.00106844,0.00106844,0.00106844
6,1769.22,1.56773,2.86824,1.76368,0.05855,0.25,0.03436,0.01356,2.08156,14.4117,3.10347,0.00118812,0.00118812,0.00118812
7,2024.25,1.61765,2.85605,1.78208,0.02252,0.2,0.01614,0.00551,2.48636,27.3473,3.84709,0.00117575,0.00117575,0.00117575
8,2277.58,1.57984,2.64304,1.7567,0.69154,0.08333,0.02405,0.00866,2.02155,75.2024,3.05213,0.00116337,0.00116337,0.00116337
9,2536.3,1.63329,2.73793,1.78659,0.06424,0.36667,0.04896,0.02488,1.95591,43.1804,2.38332,0.001151,0.001151,0.001151
10,2791.55,1.57014,2.71096,1.73808,0.07912,0.06667,0.0376,0.01429,2.03504,4.4922,2.74294,0.00113863,0.00113863,0.00113863
11,3063.39,1.5509,2.69252,1.75064,0.00381,0.28333,0.00464,0.00179,2.76768,6.98152,2.94538,0.00112625,0.00112625,0.00112625
